path,programName,sourceSha256,firstBlockingFamily,latentFamilyUnderProfileProbe,firstBlockingStage,frontendState,frontendExit,lowerState,lowerExit,cfgState,dependencyState,spVersion,spObserved,spPartial,spUnsupported,entryInventory,storageGapCodes,unresolvedDependencyOccurrences,unresolvedDependencyNames,rawDirectory
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBACT03C.cbl,CBACT03C,2e16c29ee12fd20eec4500278f49d1430fe6aec4dd0a0963188ed62ccce9e171,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,64,47,14,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBACT03C.cbl
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBACT04C.cbl,CBACT04C,76dea08b410b653ee2fa967c564e9f2e992b7c09f52b2d1fbb5a212149aefbce,F4_STORAGE_PROFILE_UNSELECTED,F7_AIR_DANGLING_LABEL,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,294,221,66,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBACT04C.cbl
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBCUS01C.cbl,CBCUS01C,494b1ca4ab8a4334eef77d2b87cc7df266f80cbeab2a3f191e9c776d4437d497,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,64,47,14,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBCUS01C.cbl
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBSTM03A.cbl,,382c4131561a7843704fb84212c5d15b69ed5fa7b69101ee999680880a1d8879,F1_FIXED_FORMAT_TAB,,frontend,BLOCKED,1,NOT_REACHED,,NOT_REACHED,NOT_REACHED,,,,,,,0,,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBSTM03A.cbl
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBSTM03B.cbl,CBSTM03B,c183707f0dae0b5e9387373fc3624f0462ad95ccbbb6c8a34167591e206bcbf8,PIPELINE_PARTIAL,,,PARTIAL,0,PARTIAL,0,PARTIAL,PARTIAL,2.37.0,53,23,17,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBSTM03B.cbl
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBTRN01C.cbl,CBTRN01C,18cebdd95bff49b5316c271204fb20f59d2dd72615bc1715498c9cc8a50187f7,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.37.0,216,164,49,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBTRN01C.cbl
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBTRN02C.cbl,CBTRN02C,136ab808a10d01814269a4a29bd6c249b1b86952d0abded98419458db43f2aef,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.37.0,339,248,80,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBTRN02C.cbl
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBTRN03C.cbl,CBTRN03C,c9c5428073cbe19c1cd19fc066ed99972560c209a80b4aea3bae3cc5e20a3536,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.37.0,315,229,77,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CBTRN03C.cbl
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COACTUPC.cl2,COACTUPC,e944b2b469cf737296489e87158801cfe1a174e2965b5bb9ad5006fc65a2b176,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.35.0,1400,886,424,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COACTUPC.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COACTVWC.cl2,COACTVWC,4f1e55176f69edfb55b7af7a161aceb8c3bc3bd1b2924a704a76256e0e751b54,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.35.0,275,174,94,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COACTVWC.cl2
