program,perform site,range,paragraphs,terminal/frontier statements,intrinsic continuation,ordinary continuation,contextual completion,explicit transfer,nested control,current producer facts,current lower rejection,cluster
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:185@222,"{""performKind"": ""PROCEDURE"", ""from"": ""1000-INITIALIZE"", ""through"": ""1000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",1000-INITIALIZE,statement:191: PERFORM 3100-READ-REQUEST-MQ    THRU 3100-EXIT,statement:191 -> None,statement:191 -> None,statement:192,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 2}",LEGACY; entry=statement:189; completions=statement:191,,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;PERFORM;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:185@222,"{""performKind"": ""PROCEDURE"", ""from"": ""1000-INITIALIZE"", ""through"": ""1000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",1000-EXIT,statement:192: EXIT,statement:192 -> statement:3,statement:192 -> statement:3,resume statement:186,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 2}",LEGACY; entry=statement:192; completions=statement:192,statement:192: normal completion cannot override explicit control | statement:192: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:186@223,"{""performKind"": ""PROCEDURE"", ""from"": ""2000-MAIN-PROCESS"", ""through"": ""2000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",2000-MAIN-PROCESS,,,,statement:215,,"{""PERFORM_PROCEDURE"": 3, ""IF"": 1}",LEGACY; entry=statement:207; completions=,,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:186@223,"{""performKind"": ""PROCEDURE"", ""from"": ""2000-MAIN-PROCESS"", ""through"": ""2000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",2000-EXIT,statement:215: EXIT,statement:215 -> statement:216,statement:215 -> statement:216,resume statement:187,,"{""PERFORM_PROCEDURE"": 3, ""IF"": 1}",LEGACY; entry=statement:215; completions=statement:215,statement:215: normal completion cannot override explicit control | statement:215: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:187@224,"{""performKind"": ""PROCEDURE"", ""from"": ""9000-TERMINATE"", ""through"": ""9000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",9000-TERMINATE,statement:329: PERFORM 9100-CLOSE-REQUEST-QUEUE THRU 9100-EXIT,statement:329 -> None,statement:329 -> None,statement:330,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 1}",LEGACY; entry=statement:181; completions=statement:329,,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;PERFORM;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:187@224,"{""performKind"": ""PROCEDURE"", ""from"": ""9000-TERMINATE"", ""through"": ""9000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",9000-EXIT,statement:330: EXIT,statement:330 -> statement:182,statement:330 -> statement:182,resume statement:188,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 1}",LEGACY; entry=statement:330; completions=statement:330,statement:330: normal completion cannot override explicit control | statement:330: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:190@244,"{""performKind"": ""PROCEDURE"", ""from"": ""1100-OPEN-REQUEST-QUEUE"", ""through"": ""1100-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",1100-OPEN-REQUEST-QUEUE,statement:160: IF WS-COMPCODE = MQCC-OK SET WS-REQUEST-MQ-OPEN TO TRUE ELSE MOVE 'M001'          TO ERR-LOCATION SET  ERR-CRITICAL    TO TRUE SET  ERR-MQ          TO TRUE MOVE WS-COMPCODE     TO WS-CODE-DISPLAY MOVE WS-CODE-DISPLAY TO ERR-CODE-1 MOVE WS-REASON      | statement:197: PERFORM 9500-LOG-ERROR | statement:194: SET WS-REQUEST-MQ-OPEN TO TRUE,statement:160 -> None | statement:197 -> None | statement:194 -> statement:198,statement:160 -> None | statement:197 -> None | statement:194 -> statement:198,statement:198,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 1}","LEGACY; entry=statement:3; completions=statement:160,statement:197,statement:194",statement:194: normal completion cannot override explicit control | statement:194: intrinsic normal edge stays in paragraph,"K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;IF,PERFORM,SET;ONCE"
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:190@244,"{""performKind"": ""PROCEDURE"", ""from"": ""1100-OPEN-REQUEST-QUEUE"", ""through"": ""1100-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",1100-EXIT,statement:198: EXIT,statement:198 -> statement:199,statement:198 -> statement:199,resume statement:191,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 1}",LEGACY; entry=statement:198; completions=statement:198,statement:198: normal completion cannot override explicit control | statement:198: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:191@246,"{""performKind"": ""PROCEDURE"", ""from"": ""3100-READ-REQUEST-MQ"", ""through"": ""3100-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",3100-READ-REQUEST-MQ,statement:164: IF WS-COMPCODE = MQCC-OK MOVE MQMD-CORRELID OF MQM-MD-REQUEST TO WS-SAVE-CORRELID MOVE MQMD-REPLYTOQ OF MQM-MD-REQUEST TO WS-REPLY-QNAME ELSE IF WS-REASON = MQRC-NO-MSG-AVAILABLE SET NO-MORE-MSG-AVAILABLE TO TRUE ELSE MOVE 'M003'                TO ER | statement:165: IF WS-REASON = MQRC-NO-MSG-AVAILABLE SET NO-MORE-MSG-AVAILABLE TO TRUE ELSE MOVE 'M003'                TO ERR-LOCATION SET  ERR-CRITICAL          TO TRUE SET  ERR-CICS              TO TRUE MOVE WS-COMPCODE           TO WS-CODE-DISPLAY MOVE WS-CODE-DI | statement:223: PERFORM 9500-LOG-ERROR | statement:220: SET NO-MORE-MSG-AVAILABLE TO TRUE | statement:25: MOVE MQMD-REPLYTOQ OF MQM-MD-REQUEST TO WS-REPLY-QNAME,statement:164 -> None | statement:165 -> None | statement:223 -> None | statement:220 -> statement:224 | statement:25 -> None,statement:164 -> None | statement:165 -> None | statement:223 -> None | statement:220 -> statement:224 | statement:25 -> None,statement:224,,"{""IF"": 2, ""PERFORM_PROCEDURE"": 1}","LEGACY; entry=statement:219; completions=statement:164,statement:165,statement:223,statement:220,statement:25",statement:220: normal completion cannot override explicit control | statement:220: intrinsic normal edge stays in paragraph,"K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;IF,MOVE,PERFORM,SET;ONCE"
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:191@246,"{""performKind"": ""PROCEDURE"", ""from"": ""3100-READ-REQUEST-MQ"", ""through"": ""3100-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",3100-EXIT,statement:224: EXIT,statement:224 -> statement:225,statement:224 -> statement:225,resume None,,"{""IF"": 2, ""PERFORM_PROCEDURE"": 1}",LEGACY; entry=statement:224; completions=statement:224,statement:224: normal completion cannot override explicit control | statement:224: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:197@282,"{""performKind"": ""PROCEDURE"", ""from"": ""9500-LOG-ERROR"", ""through"": """", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",9500-LOG-ERROR,statement:184: IF ERR-CRITICAL PERFORM 9990-END-ROUTINE END-IF | statement:339: PERFORM 9990-END-ROUTINE,statement:184 -> None | statement:339 -> None,statement:184 -> None | statement:339 -> None,resume None,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 1}","STRUCTURAL_FACTS; entry=statement:336; completions=statement:184,statement:339",,"K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; SINGLE;IF,PERFORM;ONCE"
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:205@316,"{""performKind"": ""PROCEDURE"", ""from"": ""9500-LOG-ERROR"", ""through"": """", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",9500-LOG-ERROR,statement:184: IF ERR-CRITICAL PERFORM 9990-END-ROUTINE END-IF | statement:339: PERFORM 9990-END-ROUTINE,statement:184 -> None | statement:339 -> None,statement:184 -> None | statement:339 -> None,resume None,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 1}","STRUCTURAL_FACTS; entry=statement:336; completions=statement:184,statement:339",,"K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; SINGLE;IF,PERFORM;ONCE"
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:208@328,"{""performKind"": ""PROCEDURE"", ""from"": ""2100-EXTRACT-REQUEST-MSG"", ""through"": ""2100-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",2100-EXTRACT-REQUEST-MSG,statement:17: MOVE PA-RQ-TRANSACTION-AMT  TO WS-TRANSACTION-AMT,statement:17 -> None,statement:17 -> None,statement:218,,{},LEGACY; entry=statement:216; completions=statement:17,,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;MOVE;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:208@328,"{""performKind"": ""PROCEDURE"", ""from"": ""2100-EXTRACT-REQUEST-MSG"", ""through"": ""2100-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",2100-EXIT,statement:218: EXIT,statement:218 -> statement:219,statement:218 -> statement:219,resume None,,{},LEGACY; entry=statement:218; completions=statement:218,statement:218: normal completion cannot override explicit control | statement:218: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:209@330,"{""performKind"": ""PROCEDURE"", ""from"": ""5000-PROCESS-AUTH"", ""through"": ""5000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",5000-PROCESS-AUTH,statement:167: IF CARD-FOUND-XREF PERFORM 8000-WRITE-AUTH-TO-DB  THRU 8000-EXIT END-IF | statement:236: PERFORM 8000-WRITE-AUTH-TO-DB  THRU 8000-EXIT,statement:167 -> None | statement:236 -> None,statement:167 -> None | statement:236 -> None,statement:237,,"{""PERFORM_PROCEDURE"": 9, ""IF"": 2}","LEGACY; entry=statement:225; completions=statement:167,statement:236",,"K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;IF,PERFORM;ONCE"
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:209@330,"{""performKind"": ""PROCEDURE"", ""from"": ""5000-PROCESS-AUTH"", ""through"": ""5000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",5000-EXIT,statement:237: EXIT,statement:237 -> statement:33,statement:237 -> statement:33,resume None,,"{""PERFORM_PROCEDURE"": 9, ""IF"": 2}",LEGACY; entry=statement:237; completions=statement:237,statement:237: normal completion cannot override explicit control | statement:237: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:214@342,"{""performKind"": ""PROCEDURE"", ""from"": ""3100-READ-REQUEST-MQ"", ""through"": ""3100-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",3100-READ-REQUEST-MQ,statement:164: IF WS-COMPCODE = MQCC-OK MOVE MQMD-CORRELID OF MQM-MD-REQUEST TO WS-SAVE-CORRELID MOVE MQMD-REPLYTOQ OF MQM-MD-REQUEST TO WS-REPLY-QNAME ELSE IF WS-REASON = MQRC-NO-MSG-AVAILABLE SET NO-MORE-MSG-AVAILABLE TO TRUE ELSE MOVE 'M003'                TO ER | statement:165: IF WS-REASON = MQRC-NO-MSG-AVAILABLE SET NO-MORE-MSG-AVAILABLE TO TRUE ELSE MOVE 'M003'                TO ERR-LOCATION SET  ERR-CRITICAL          TO TRUE SET  ERR-CICS              TO TRUE MOVE WS-COMPCODE           TO WS-CODE-DISPLAY MOVE WS-CODE-DI | statement:223: PERFORM 9500-LOG-ERROR | statement:220: SET NO-MORE-MSG-AVAILABLE TO TRUE | statement:25: MOVE MQMD-REPLYTOQ OF MQM-MD-REQUEST TO WS-REPLY-QNAME,statement:164 -> None | statement:165 -> None | statement:223 -> None | statement:220 -> statement:224 | statement:25 -> None,statement:164 -> None | statement:165 -> None | statement:223 -> None | statement:220 -> statement:224 | statement:25 -> None,statement:224,,"{""IF"": 2, ""PERFORM_PROCEDURE"": 1}","LEGACY; entry=statement:219; completions=statement:164,statement:165,statement:223,statement:220,statement:25",statement:220: normal completion cannot override explicit control | statement:220: intrinsic normal edge stays in paragraph,"K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;IF,MOVE,PERFORM,SET;ONCE"
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:214@342,"{""performKind"": ""PROCEDURE"", ""from"": ""3100-READ-REQUEST-MQ"", ""through"": ""3100-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",3100-EXIT,statement:224: EXIT,statement:224 -> statement:225,statement:224 -> statement:225,resume None,,"{""IF"": 2, ""PERFORM_PROCEDURE"": 1}",LEGACY; entry=statement:224; completions=statement:224,statement:224: normal completion cannot override explicit control | statement:224: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:223@429,"{""performKind"": ""PROCEDURE"", ""from"": ""9500-LOG-ERROR"", ""through"": """", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",9500-LOG-ERROR,statement:184: IF ERR-CRITICAL PERFORM 9990-END-ROUTINE END-IF | statement:339: PERFORM 9990-END-ROUTINE,statement:184 -> None | statement:339 -> None,statement:184 -> None | statement:339 -> None,resume None,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 1}","STRUCTURAL_FACTS; entry=statement:336; completions=statement:184,statement:339",,"K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; SINGLE;IF,PERFORM;ONCE"
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:226@443,"{""performKind"": ""PROCEDURE"", ""from"": ""1200-SCHEDULE-PSB"", ""through"": ""1200-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",1200-SCHEDULE-PSB,statement:162: IF STATUS-OK SET IMS-PSB-SCHD           TO TRUE ELSE MOVE 'I001'                TO ERR-LOCATION SET  ERR-CRITICAL          TO TRUE SET  ERR-IMS               TO TRUE MOVE IMS-RETURN-CODE       TO ERR-CODE-1 MOVE 'IMS SCHD FAILED'     TO ERR-MESSAGE P | statement:205: PERFORM 9500-LOG-ERROR | statement:202: SET IMS-PSB-SCHD           TO TRUE,statement:162 -> None | statement:205 -> None | statement:202 -> statement:206,statement:162 -> None | statement:205 -> None | statement:202 -> statement:206,statement:206,,"{""IF"": 2, ""PERFORM_PROCEDURE"": 1}","LEGACY; entry=statement:199; completions=statement:162,statement:205,statement:202",statement:202: normal completion cannot override explicit control | statement:202: intrinsic normal edge stays in paragraph,"K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;IF,PERFORM,SET;ONCE"
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:226@443,"{""performKind"": ""PROCEDURE"", ""from"": ""1200-SCHEDULE-PSB"", ""through"": ""1200-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",1200-EXIT,statement:206: EXIT,statement:206 -> statement:207,statement:206 -> statement:207,resume statement:227,,"{""IF"": 2, ""PERFORM_PROCEDURE"": 1}",LEGACY; entry=statement:206; completions=statement:206,statement:206: normal completion cannot override explicit control | statement:206: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:229@448,"{""performKind"": ""PROCEDURE"", ""from"": ""5100-READ-XREF-RECORD"", ""through"": ""5100-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",5100-READ-XREF-RECORD,statement:240: SET  CARD-FOUND-XREF  TO TRUE,statement:240 -> statement:249,statement:240 -> statement:249,statement:249,,"{""CICS_FILE_CONTROL"": 1, ""PERFORM_PROCEDURE"": 2}",LEGACY; entry=statement:33; completions=,statement:240: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:229@448,"{""performKind"": ""PROCEDURE"", ""from"": ""5100-READ-XREF-RECORD"", ""through"": ""5100-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",5100-EXIT,statement:249: EXIT,statement:249 -> statement:44,statement:249 -> statement:44,resume statement:166,,"{""CICS_FILE_CONTROL"": 1, ""PERFORM_PROCEDURE"": 2}",LEGACY; entry=statement:249; completions=statement:249,statement:249: normal completion cannot override explicit control | statement:249: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:230@451,"{""performKind"": ""PROCEDURE"", ""from"": ""5200-READ-ACCT-RECORD"", ""through"": ""5200-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",5200-READ-ACCT-RECORD,statement:252: SET FOUND-ACCT-IN-MSTR     TO TRUE,statement:252 -> statement:260,statement:252 -> statement:260,statement:260,,"{""CICS_FILE_CONTROL"": 1, ""PERFORM_PROCEDURE"": 2}",LEGACY; entry=statement:44; completions=,statement:252: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:230@451,"{""performKind"": ""PROCEDURE"", ""from"": ""5200-READ-ACCT-RECORD"", ""through"": ""5200-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",5200-EXIT,statement:260: EXIT,statement:260 -> statement:55,statement:260 -> statement:55,resume statement:231,,"{""CICS_FILE_CONTROL"": 1, ""PERFORM_PROCEDURE"": 2}",LEGACY; entry=statement:260; completions=statement:260,statement:260: normal completion cannot override explicit control | statement:260: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:231@452,"{""performKind"": ""PROCEDURE"", ""from"": ""5300-READ-CUST-RECORD"", ""through"": ""5300-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",5300-READ-CUST-RECORD,statement:263: SET FOUND-CUST-IN-MSTR     TO TRUE,statement:263 -> statement:271,statement:263 -> statement:271,statement:271,,"{""CICS_FILE_CONTROL"": 1, ""PERFORM_PROCEDURE"": 2}",LEGACY; entry=statement:55; completions=,statement:263: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:231@452,"{""performKind"": ""PROCEDURE"", ""from"": ""5300-READ-CUST-RECORD"", ""through"": ""5300-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",5300-EXIT,statement:271: EXIT,statement:271 -> statement:66,statement:271 -> statement:66,resume statement:232,,"{""CICS_FILE_CONTROL"": 1, ""PERFORM_PROCEDURE"": 2}",LEGACY; entry=statement:271; completions=statement:271,statement:271: normal completion cannot override explicit control | statement:271: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:232@454,"{""performKind"": ""PROCEDURE"", ""from"": ""5500-READ-AUTH-SUMMRY"", ""through"": ""5500-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",5500-READ-AUTH-SUMMRY,statement:274: SET FOUND-PAUT-SMRY-SEG        TO TRUE | statement:275: SET NFOUND-PAUT-SMRY-SEG       TO TRUE,statement:274 -> statement:279 | statement:275 -> statement:279,statement:274 -> statement:279 | statement:275 -> statement:279,statement:279,,"{""PERFORM_PROCEDURE"": 1}",LEGACY; entry=statement:66; completions=,statement:274: intrinsic normal edge stays in paragraph | statement:275: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:232@454,"{""performKind"": ""PROCEDURE"", ""from"": ""5500-READ-AUTH-SUMMRY"", ""through"": ""5500-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",5500-EXIT,statement:279: EXIT,statement:279 -> statement:280,statement:279 -> statement:280,resume statement:233,,"{""PERFORM_PROCEDURE"": 1}",LEGACY; entry=statement:279; completions=statement:279,statement:279: normal completion cannot override explicit control | statement:279: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:233@456,"{""performKind"": ""PROCEDURE"", ""from"": ""5600-READ-PROFILE-DATA"", ""through"": ""5600-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",5600-READ-PROFILE-DATA,statement:280: CONTINUE,statement:280 -> statement:281,statement:280 -> statement:281,statement:281,,{},LEGACY; entry=statement:280; completions=statement:280,statement:280: normal completion cannot override explicit control | statement:280: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;CONTINUE;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:233@456,"{""performKind"": ""PROCEDURE"", ""from"": ""5600-READ-PROFILE-DATA"", ""through"": ""5600-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",5600-EXIT,statement:281: EXIT,statement:281 -> statement:72,statement:281 -> statement:72,resume statement:234,,{},LEGACY; entry=statement:281; completions=statement:281,statement:281: normal completion cannot override explicit control | statement:281: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:234@459,"{""performKind"": ""PROCEDURE"", ""from"": ""6000-MAKE-DECISION"", ""through"": ""6000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",6000-MAKE-DECISION,"statement:292: STRING PA-RL-CARD-NUM         ',' PA-RL-TRANSACTION-ID   ',' PA-RL-AUTH-ID-CODE     ',' PA-RL-AUTH-RESP-CODE   ',' PA-RL-AUTH-RESP-REASON ',' WS-APPROVED-AMT-DIS    ',' DELIMITED BY SIZE INTO W02-PUT-BUFFER WITH POINTER WS-RESP-LENGTH END-STRING",statement:292 -> statement:293,statement:292 -> statement:293,statement:293,,"{""IF"": 6}",LEGACY; entry=statement:72; completions=statement:292,statement:292: normal completion cannot override explicit control | statement:292: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;STRING;ONCE
